Group Name,Ward,Total Member Count,Total_Members_Paid,Total_Amount_Paid
10 Smart,Kabondo West,3,2,200
109 SHG ,Lindi,12,12,3600
11C,Kware,2,2,300
12 Sisters,Utalii,26,10,1200
12 Sisters ,Woodley,20,2,200
13 brothers SHG,Dandora Area Iv,12,8,1200
15 PRECIOUS SISTERS,Laini Saba,28,9,900
15 Queens,Kawangware,9,5,600
15 Stars,California,17,5,1100
1st Avenue divine,California,4,2,400
20 WISE SHG,Sarang'ombe,12,1,100
2011 LOVING SISTERS B,Central Sakwa,9,1,100
2011 LOVING SISTERS B,Yimbo East,9,5,800
2011 LOVING YOUTH A,Yimbo East,15,12,1800
2016 Vision Movers ,Imara Daima,10,6,600
2023 MUTEGO AGED,Mutu-Ini,3,1,200
2024,Ngei,2,1,100
24-Jul,Karura,6,3,300
26 brave warriors ,Ruai,4,2,200
2K,Homa Bay Central,1,1,100
2gether Women,Korogocho,11,9,900
3 in 1,Ngei,13,6,600
30 Pillars,Mabatini,3,1,100
42 Traders ,Woodley,6,3,600
44 Ways  A,Kwa Njenga,14,6,700
44 ways B,Kware,13,9,900
44 ways C,Pipeline,12,5,500
44 youth group,Roysambu,1,1,300
48 Fire C,Kware,10,2,300
48 Fire D,Kware,6,1,100
48 Massive ,Kware,26,4,1200
4B LUDO GROUP,Ngei,13,1,300
64B Elders,Dandora Area Iv,24,5,500
68 INTWE SHG,Lindi,20,12,1200
7 women,Njiru,4,1,100
72,Karura,64,2,300
84 Welfare,Kileleshwa,14,6,900
87 Welfare,Kileleshwa,15,1,100
A VISIONARY YOUTH GROUP A,Kwa,4,3,300
A VISIONARY YOUTH GROUP B,Kwa,2,2,200
AA Elders Association ,Imara Daima,18,11,1400
ABAKI SUPPORT,Kwa,2,1,100
ABALIBAO SHG,Lindi,25,5,500
ABATUNI WOMEN B,Makerero,2,1,100
ABEDO  C.B.O,Central Alego,6,1,100
ABEDO MOYIE,West Alego,4,2,200
ABER WOMEN DEVELOPMENT,South Sakwa,9,7,700
ABIERO,Sigomere,4,4,400
ABILA TIPO SHG,Sarang'ombe,61,30,4800
ABONYO,Sigomere,6,6,600
ABONYO B.,Sigomere,5,2,1100
ABONYO C.,Sigomere,3,3,300
ABOUR NYANDONG,East Kamagambo,3,2,200
ABOUT MOYIEW GROUP,East Asembo,1,1,100
ABUYE E,East Asembo,3,2,200
ABUYU A,East Asembo,10,5,2600
ABUYU B,East Asembo,6,5,500
ABUYU C,East Asembo,1,1,200
ABUYU D,East Asembo,4,1,201
ABUYU E,East Asembo,4,3,1000
ACHAE RACH,Yimbo East,5,2,200
ACHAE RACH MASUMBI,South East Alego,13,6,1300
ACHAN YI SUPPOPRT,South Sakwa,9,5,500
ACHANDO WOMEN,Central Gem,2,2,200
ACHANDRA W,North Uyoma,3,3,300
